number_of_bedrooms,square_footage,locations,age,price
4.0,1285.0,gulberg,25.0,197246.0
4.0,1561.0,downtown,15.0,179434.0
5.0,1772.0,north nazimabad,,219704.0
,1524.0,street no 03,27.0,221073.0
6.0,1520.0,street no 03,8.0,257961.0
5.0,1149.0,street no 10,0.0,217739.0
4.0,1169.0,suburb area,28.0,188604.0
6.0,799.0,gulberg,21.0,187992.0
3.0,2375.0,north nazimabad,,235468.0
4.0,878.0,street no 03,6.0,178975.0
5.0,1154.0,street no 06,13.0,190833.0
2.0,1141.0,suburb area,28.0,169748.0
4.0,1947.0,north nazimabad,18.0,241866.0
,1353.0,street no 06,18.0,153857.0
6.0,2124.0,gulberg,1.0,320173.0
3.0,1163.0,gulberg,14.0,177734.0
1.0,1639.0,street no 03,2.0,175264.0
3.0,1082.0,street no 03,10.0,177726.0
4.0,2573.0,street no 08,29.0,286556.0
2.0,906.0,street no 08,39.0,133989.0
2.0,1655.0,street no 07,17.0,1276175.2751508823
5.0,1817.0,street no 10,1.0,265777.0
2.0,1707.0,street no 04,31.0,208232.0
5.0,1407.0,north nazimabad,7.0,190606.0
6.0,1435.0,street no 04,21.0,232583.0
1.0,1522.0,street no 03,5.0,178679.0
4.0,1426.0,street no 05,11.0,179068.0
5.0,1982.0,street no 03,39.0,249110.0
1.0,2605.0,gulberg,35.0,247437.0
2.0,1221.0,street no 08,14.0,161530.0
2.0,815.0,street no 07,27.0,98159.0
1.0,1456.0,gulberg,17.0,166454.0
2.0,2790.0,street no 03,1.0,299523.0
6.0,1098.0,street no 09,12.0,216080.0
6.0,2320.0,suburb area,14.0,327051.0
1.0,2339.0,defence phase 5,19.0,212833.0
5.0,1223.0,gulberg,28.0,209414.0
5.0,1784.0,street no 05,28.0,233242.0
1.0,2314.0,street no 09,2.0,241729.0
,1310.0,street no 07,18.0,202995.0
5.0,1398.0,north nazimabad,2.0,215970.0
6.0,1209.0,street no 07,,211291.0
5.0,993.0,street no 06,39.0,136241.0
3.0,1175.0,street no 02,3.0,191302.0
4.0,888.0,street no 09,10.0,162493.0
2.0,1517.0,street no 06,30.0,156600.0
3.0,1115.0,street no 08,31.0,161907.0
5.0,1617.0,street no 01,26.0,224511.0
6.0,722.0,street no 05,29.0,140034.0
1.0,1665.0,suburb area,1.0,204724.0
5.0,1917.0,street no 01,8.0,248168.0
6.0,503.0,street no 10,27.0,156060.0
4.0,1687.0,downtown,30.0,199291.0
5.0,2114.0,defence phase 5,33.0,251744.0
1.0,895.0,street no 08,14.0,137678.0
6.0,2336.0,street no 08,24.0,306771.0
6.0,1710.0,street no 01,35.0,238636.0
6.0,1147.0,street no 09,7.0,224415.0
4.0,1472.0,street no 02,8.0,229678.0
5.0,1779.0,suburb area,36.0,256521.0
4.0,1538.0,street no 09,38.0,211949.0
2.0,1769.0,street no 01,31.0,182752.0
2.0,1040.0,suburb area,16.0,154062.0
5.0,1585.0,street no 10,34.0,232730.0
4.0,793.0,defence phase 5,36.0,127738.0
1.0,,defence phase 5,18.0,153991.0
6.0,1048.0,street no 09,28.0,201843.0
6.0,1132.0,street no 04,6.0,211520.0
,2118.0,street no 09,27.0,272692.0
2.0,2046.0,street no 07,8.0,199782.0
2.0,1805.0,downtown,27.0,184299.0
6.0,954.0,street no 06,5.0,173883.0
5.0,1342.0,north nazimabad,28.0,200410.0
4.0,2107.0,street no 05,16.0,244368.0
2.0,1571.0,downtown,15.0,162687.0
4.0,2660.0,street no 09,22.0,306951.0
2.0,1697.0,street no 02,30.0,207879.0
2.0,1596.0,defence phase 5,2.0,190817.0
3.0,1345.0,gulberg,20.0,201466.0
2.0,1567.0,downtown,25.0,161502.0
1.0,1424.0,defence phase 5,35.0,127939.0
5.0,1854.0,suburb area,36.0,254784.0
5.0,1978.0,street no 02,21.0,275195.0
4.0,1107.0,downtown,11.0,167537.0
2.0,834.0,suburb area,12.0,140865.0
1.0,582.0,north nazimabad,10.0,75849.0
4.0,1754.0,street no 09,15.0,246651.0
3.0,948.0,suburb area,7.0,170302.0
4.0,424.0,street no 03,39.0,113622.0
4.0,1694.0,street no 08,39.0,231880.0
2.0,2746.0,downtown,1.0,264554.0
3.0,1497.0,north nazimabad,29.0,161416.0
4.0,1919.0,street no 09,29.0,246392.0
1.0,1541.0,street no 08,11.0,176451.0
1.0,1451.0,street no 04,9.0,165875.0
5.0,1960.0,suburb area,10.0,280051.0
3.0,1355.0,street no 01,14.0,178222.0
3.0,,street no 04,15.0,189638.0
5.0,1661.0,defence phase 5,16.0,220693.0
4.0,1166.0,street no 09,25.0,188823.0
3.0,1996.0,street no 02,1.0,267332.0
1.0,1413.0,street no 03,11.0,158889.0
1.0,1122.0,street no 10,25.0,142948.0
2.0,1768.0,street no 08,22.0,203996.0
3.0,1051.0,street no 06,17.0,138824.0
4.0,1514.0,street no 08,31.0,212691.0
5.0,,street no 07,37.0,194294.0
5.0,2043.0,defence phase 5,2.0,268944.0
4.0,1737.0,gulberg,37.0,230874.0
6.0,1487.0,gulberg,2.0,255249.0
2.0,1909.0,street no 05,29.0,197199.0
5.0,2195.0,street no 09,0.0,283223.0
3.0,1779.0,street no 04,29.0,211149.0
2.0,1505.0,street no 06,31.0,164106.0
3.0,844.0,street no 02,27.0,156283.0
1.0,967.0,north nazimabad,20.0,100903.0
2.0,1347.0,street no 02,,172685.0
5.0,1195.0,street no 02,26.0,213115.0
2.0,1407.0,street no 10,35.0,155754.0
2.0,1528.0,street no 07,6.0,164863.0
2.0,1765.0,gulberg,21.0,218429.0
6.0,1465.0,street no 02,9.0,260503.0
2.0,1743.0,north nazimabad,38.0,156524.0
3.0,1532.0,north nazimabad,14.0,184437.0
1.0,512.0,suburb area,14.0,100203.0
4.0,1030.0,north nazimabad,3.0,152983.0
2.0,1428.0,gulberg,31.0,179718.0
5.0,895.0,street no 02,22.0,184695.0
2.0,1800.0,north nazimabad,5.0,189889.0
5.0,2265.0,street no 09,23.0,284737.0
3.0,2109.0,street no 07,19.0,216536.0
5.0,1393.0,downtown,36.0,185029.0
4.0,2245.0,street no 03,19.0,269633.0
1.0,1574.0,street no 03,11.0,175392.0
5.0,1331.0,street no 07,32.0,190747.0
5.0,1193.0,street no 05,27.0,186938.0
1.0,1349.0,street no 10,7.0,149074.0
4.0,1306.0,defence phase 5,0.0,193950.0
,1585.0,defence phase 5,36.0,173482.0
5.0,1580.0,street no 06,,224599.0
1.0,1502.0,gulberg,5.0,185121.0
3.0,1718.0,suburb area,20.0,217777.0
1.0,2095.0,street no 08,31.0,221787.0
3.0,1975.0,street no 09,34.0,218091.0
4.0,758.0,street no 01,14.0,140878.0
2.0,300.0,street no 03,4.0,99344.0
1.0,1967.0,downtown,5.0,179245.0
,817.0,street no 07,24.0,151512.0
5.0,1388.0,street no 06,39.0,191506.0
4.0,915.0,street no 07,28.0,151461.0
1.0,599.0,street no 08,6.0,119513.0
5.0,1771.0,street no 06,39.0,224077.0
1.0,1880.0,street no 03,12.0,935374.4832510614
3.0,1212.0,street no 02,37.0,828285.3918185582
1.0,300.0,suburb area,17.0,87896.0
6.0,1227.0,street no 07,1.0,212172.0
1.0,1696.0,suburb area,7.0,190029.0
1.0,761.0,suburb area,10.0,126272.0
6.0,1592.0,suburb area,32.0,254509.0
4.0,1492.0,downtown,37.0,177315.0
1.0,,street no 01,,171491.0
6.0,1560.0,street no 03,19.0,253744.0
5.0,1013.0,suburb area,11.0,197793.0
3.0,,downtown,30.0,209393.0
3.0,1421.0,street no 04,26.0,179395.0
1.0,1486.0,gulberg,31.0,173589.0
4.0,1033.0,,9.0,161540.0
4.0,1278.0,street no 01,2.0,187535.0
5.0,1058.0,street no 05,26.0,164893.0
1.0,1414.0,street no 10,34.0,154474.0
3.0,2356.0,street no 03,30.0,275737.0
4.0,814.0,street no 02,14.0,161256.0
1.0,693.0,north nazimabad,15.0,90617.0
4.0,2236.0,,12.0,280935.0
6.0,1395.0,street no 08,34.0,227183.0
4.0,1165.0,street no 06,10.0,181175.0
3.0,2020.0,gulberg,20.0,249212.0
2.0,1197.0,defence phase 5,10.0,140192.0
,2413.0,street no 07,29.0,255988.0
5.0,1839.0,suburb area,34.0,260750.0
3.0,1256.0,street no 06,21.0,155862.0
4.0,2579.0,street no 06,37.0,260814.0
1.0,1197.0,suburb area,30.0,141207.0
4.0,1871.0,street no 03,13.0,254408.0
3.0,1650.0,suburb area,23.0,203651.0
5.0,2151.0,gulberg,31.0,282392.0
4.0,2281.0,defence phase 5,,246974.0
5.0,1516.0,street no 08,31.0,234404.0
1.0,1123.0,,14.0,149282.0
5.0,1730.0,street no 07,34.0,216070.0
5.0,,street no 07,2.0,178261.0
2.0,2507.0,,15.0,1171699.0897679203
2.0,1568.0,street no 05,4.0,178593.0
6.0,1317.0,street no 10,20.0,229890.0
2.0,1592.0,street no 08,9.0,205550.0
5.0,826.0,street no 05,,145897.0
3.0,1014.0,street no 09,24.0,148439.0
5.0,2100.0,street no 09,3.0,275958.0
3.0,1172.0,street no 01,28.0,152530.0
